nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2019-12-02 10:40:00",220,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-12-02 10:40:00",110,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2019-12-02 10:40:00",1080,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-12-02 10:40:00",6640,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-02 10:40:00",430,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-12-02 10:40:00",210,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-12-02 10:30:00",3600,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-12-02 10:40:00",1670,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-12-02 09:05:42",2020,"Status : Siaga 2"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2019-12-02 10:40:00",-1780,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2019-12-02 10:40:00",840,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-12-02 10:40:00",360,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2019-12-02 10:40:00",630,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-02 10:40:00",3350,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-12-02 10:40:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-02 10:40:00",400,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-12-02 10:40:00",1800,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-12-02 10:40:00",2640,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-12-02 10:30:00",1560,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-12-02 10:40:00",1030,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-02 10:40:00",1850,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2019-12-02 11:10:00",220,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-12-02 11:10:00",100,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2019-12-02 11:10:00",1080,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-12-02 11:10:00",6580,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-02 11:10:00",400,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-12-02 11:10:00",210,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-12-02 11:10:00",3600,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-12-02 11:10:00",2070,"Status : Siaga 2"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-12-02 10:00:15",2070,"Status : Siaga 2"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2019-12-02 11:10:00",-1780,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2019-12-02 11:10:00",840,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-12-02 11:10:00",410,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2019-12-02 11:10:00",630,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-02 11:00:00",3350,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-12-02 11:10:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-02 11:10:00",400,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-12-02 11:10:00",1800,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-12-02 11:00:00",2650,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-12-02 11:10:00",1580,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-12-02 11:10:00",1050,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-02 11:00:00",1890,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2019-12-02 11:40:00",220,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-12-02 11:40:00",100,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2019-12-02 11:40:00",1060,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-12-02 11:40:00",6540,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-02 11:40:00",400,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-12-02 11:40:00",210,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-12-02 11:40:00",3550,"Status : Normal"
